Conjunto;coordenadas
Colonia Celsa;41.37596016854523,-0.4364878331925171
Cerámica;41.63612753671014,-0.8984708055407885
Etnología;41.63660879771189,-0.8981110596974838
Arqueología-Bellas Artes;41.648398859596945,-0.8788930592377484
