Año,Conjunto,Museos encuestados,Museos gratuitos,Total de visitantes,Visitantes por museo,Visitantes por museo abierto,Visitantes extrajeros por museo,% Visitantes extranjeros por museo,% visitantes con entrada gratuita,Media Exposiciones temporales inauguradas en el año
2018.0,Colonia Celsa,1.0,1.0,2316.0,2316.0,2316.0,38.0,2.0,100.0,0.0
2018.0,Cerámica,1.0,1.0,1128.0,1128.0,1128.0,46.0,4.0,100.0,0.0
2018.0,Etnología,1.0,1.0,0.0,0.0,,0.0,,,0.0
2018.0,Arqueología-Bellas Artes,1.0,1.0,57377.0,57377.0,57377.0,4787.0,8.0,100.0,9.0
